step,status,process,source,table_name,etl_date,error_msg
staging,success,extraction,database,customers,2025-03-17 22:10:34,
staging,success,extraction,database,employees,2025-03-17 22:10:34,
staging,success,extraction,database,inventory_tracking,2025-03-17 22:10:34,
staging,success,extraction,database,order_details,2025-03-17 22:10:34,
staging,success,extraction,database,orders,2025-03-17 22:10:34,
staging,success,extraction,database,products,2025-03-17 22:10:34,
staging,success,extraction,spreadsheet,store_branch,2025-03-17 22:10:36,
staging,success,load,database,customers,2025-03-17 22:10:36,
staging,success,load,database,employees,2025-03-17 22:10:36,
staging,success,load,database,inventory_tracking,2025-03-17 22:10:36,
staging,success,load,database,order_details,2025-03-17 22:10:36,
staging,success,load,database,orders,2025-03-17 22:10:36,
staging,success,load,database,products,2025-03-17 22:10:36,
staging,success,load,spreadsheet,store_branch,2025-03-17 22:10:36,
warehouse,success,extraction,staging,customers,2025-03-17 22:10:36,
warehouse,success,transformation,staging,customers,2025-03-17 22:10:37,
warehouse,success,validation,staging,customers,2025-03-17 22:10:37,
warehouse,success,load,staging,dim_customers,2025-03-17 22:10:37,
warehouse,success,extraction,staging,employees,2025-03-17 22:10:37,
warehouse,success,transformation,staging,employees,2025-03-17 22:10:37,
warehouse,success,validation,staging,employees,2025-03-17 22:10:37,
warehouse,success,load,staging,dim_employees,2025-03-17 22:10:37,
warehouse,success,extraction,staging,store_branch,2025-03-17 22:10:37,
warehouse,success,transformation,staging,store_branch,2025-03-17 22:10:37,
warehouse,success,load,staging,dim_store_branch,2025-03-17 22:10:37,
warehouse,success,extraction,staging,products,2025-03-17 22:10:37,
warehouse,success,transformation,staging,products,2025-03-17 22:10:37,
warehouse,success,validation,staging,products,2025-03-17 22:10:37,
warehouse,success,load,staging,dim_products,2025-03-17 22:10:37,
warehouse,success,extraction,staging,inventory_tracking,2025-03-17 22:10:37,
warehouse,success,transformation,staging,inventory_tracking,2025-03-17 22:10:37,
warehouse,success,validation,staging,fct_inventory,2025-03-17 22:10:37,
warehouse,success,load,staging,fct_inventory,2025-03-17 22:10:37,
warehouse,success,extraction,staging,orders,2025-03-17 22:10:37,
warehouse,success,extraction,staging,order_details,2025-03-17 22:10:38,
warehouse,success,transformation,staging,fct_orders,2025-03-17 22:10:38,
warehouse,success,validation,staging,fct_orders,2025-03-17 22:10:38,
warehouse,success,load,staging,fct_order,2025-03-17 22:10:38,
staging,success,extraction,database,customers,2025-03-17 22:13:51,
staging,success,extraction,database,employees,2025-03-17 22:13:51,
staging,success,extraction,database,inventory_tracking,2025-03-17 22:13:51,
staging,success,extraction,database,order_details,2025-03-17 22:13:51,
staging,success,extraction,database,orders,2025-03-17 22:13:51,
staging,success,extraction,database,products,2025-03-17 22:13:51,
staging,success,extraction,spreadsheet,store_branch,2025-03-17 22:13:52,
staging,success,load,database,customers,2025-03-17 22:13:52,
staging,success,load,database,employees,2025-03-17 22:13:52,
staging,success,load,database,inventory_tracking,2025-03-17 22:13:52,
staging,success,load,database,order_details,2025-03-17 22:13:53,
staging,success,load,database,orders,2025-03-17 22:13:53,
staging,success,load,database,products,2025-03-17 22:13:53,
staging,success,load,spreadsheet,store_branch,2025-03-17 22:13:53,
warehouse,success,extraction,staging,customers,2025-03-17 22:13:53,
warehouse,success,transformation,staging,customers,2025-03-17 22:13:53,
warehouse,success,validation,staging,customers,2025-03-17 22:13:53,
warehouse,success,load,staging,dim_customers,2025-03-17 22:13:53,
warehouse,success,extraction,staging,employees,2025-03-17 22:13:53,
warehouse,success,transformation,staging,employees,2025-03-17 22:13:53,
warehouse,success,validation,staging,employees,2025-03-17 22:13:53,
warehouse,success,load,staging,dim_employees,2025-03-17 22:13:53,
warehouse,success,extraction,staging,store_branch,2025-03-17 22:13:53,
warehouse,success,transformation,staging,store_branch,2025-03-17 22:13:53,
warehouse,success,load,staging,dim_store_branch,2025-03-17 22:13:53,
warehouse,success,extraction,staging,products,2025-03-17 22:13:53,
warehouse,success,transformation,staging,products,2025-03-17 22:13:53,
warehouse,success,validation,staging,products,2025-03-17 22:13:53,
warehouse,success,load,staging,dim_products,2025-03-17 22:13:53,
warehouse,success,extraction,staging,inventory_tracking,2025-03-17 22:13:53,
warehouse,success,transformation,staging,inventory_tracking,2025-03-17 22:13:53,
warehouse,success,validation,staging,fct_inventory,2025-03-17 22:13:53,
warehouse,success,load,staging,fct_inventory,2025-03-17 22:13:53,
warehouse,success,extraction,staging,orders,2025-03-17 22:13:53,
warehouse,success,extraction,staging,order_details,2025-03-17 22:13:54,
warehouse,success,transformation,staging,fct_orders,2025-03-17 22:13:54,
warehouse,success,validation,staging,fct_orders,2025-03-17 22:13:54,
warehouse,success,load,staging,fct_order,2025-03-17 22:13:54,
staging,success,extraction,database,customers,2025-03-17 22:15:20,
staging,success,extraction,database,employees,2025-03-17 22:15:20,
staging,success,extraction,database,inventory_tracking,2025-03-17 22:15:20,
staging,success,extraction,database,order_details,2025-03-17 22:15:20,
staging,success,extraction,database,orders,2025-03-17 22:15:20,
staging,success,extraction,database,products,2025-03-17 22:15:20,
staging,success,extraction,spreadsheet,store_branch,2025-03-17 22:15:22,
staging,success,load,database,customers,2025-03-17 22:15:22,
staging,success,load,database,employees,2025-03-17 22:15:22,
staging,success,load,database,inventory_tracking,2025-03-17 22:15:22,
staging,success,load,database,order_details,2025-03-17 22:15:22,
staging,success,load,database,orders,2025-03-17 22:15:22,
staging,success,load,database,products,2025-03-17 22:15:22,
staging,success,load,spreadsheet,store_branch,2025-03-17 22:15:22,
warehouse,success,extraction,staging,customers,2025-03-17 22:15:22,
warehouse,success,transformation,staging,customers,2025-03-17 22:15:22,
warehouse,success,validation,staging,customers,2025-03-17 22:15:22,
warehouse,success,load,staging,dim_customers,2025-03-17 22:15:22,
warehouse,success,extraction,staging,employees,2025-03-17 22:15:22,
warehouse,success,transformation,staging,employees,2025-03-17 22:15:22,
warehouse,success,validation,staging,employees,2025-03-17 22:15:22,
warehouse,success,load,staging,dim_employees,2025-03-17 22:15:22,
warehouse,success,extraction,staging,store_branch,2025-03-17 22:15:22,
warehouse,success,transformation,staging,store_branch,2025-03-17 22:15:22,
warehouse,success,load,staging,dim_store_branch,2025-03-17 22:15:22,
warehouse,success,extraction,staging,products,2025-03-17 22:15:22,
warehouse,success,transformation,staging,products,2025-03-17 22:15:23,
warehouse,success,validation,staging,products,2025-03-17 22:15:23,
warehouse,success,load,staging,dim_products,2025-03-17 22:15:23,
warehouse,success,extraction,staging,inventory_tracking,2025-03-17 22:15:23,
warehouse,success,transformation,staging,inventory_tracking,2025-03-17 22:15:23,
warehouse,success,validation,staging,fct_inventory,2025-03-17 22:15:23,
warehouse,success,load,staging,fct_inventory,2025-03-17 22:15:23,
warehouse,success,extraction,staging,orders,2025-03-17 22:15:23,
warehouse,success,extraction,staging,order_details,2025-03-17 22:15:23,
warehouse,success,transformation,staging,fct_orders,2025-03-17 22:15:23,
warehouse,success,validation,staging,fct_orders,2025-03-17 22:15:23,
warehouse,success,load,staging,fct_order,2025-03-17 22:15:23,
